"ID","user","river","flow","date","image","note"
"[11681,2615697]","#ROW[11679,1120139]","SF twomed",2380,"2019-05-29",#MEDIA,"Great flow. Flow has slowly been coming down after flood. The river changed espeshually down low. Felt good in the boat."
"[11681,2615698]","#ROW[11679,1120139]","SF twomed",2380,"2019-05-29",#MEDIA,"Great flow. Flow has slowly been coming down after flood. The river changed espeshually down low. Felt good in the boat."
"[11681,2758731]","#ROW[11679,1120139]","MF Flathead",10387,"2019-06-07",#MEDIA,"Floated in Granite cr and out to bear hitchhiked up to skyland and biked to the car. Pretty cool. Cold almost lost my hands I was luck that I had gloves in the fluta. Bigger water but all but Bleeding Gums and Jazzman(basically one rapid at this point) were pretty padded and not too pushy. I feel very lucky to have this as a day stretch.  "
"[11681,2758733]","#ROW[11679,1120139]","MF Flathead",6285,"2019-06-12",#MEDIA,"Floated bear to essex with anne and john. Very pleasant afterwork float"
"[11681,2758742]","#ROW[11679,1120139]","Dearborn",710,"2019-06-14",#MEDIA,"Floated the upper for the first time. Don't think we got to the top drops but we put in just below a drop with not enough water and a dry rock in the middle. There was a wall rapid with some wood that looked great. Boogie and then some more ledges untill the real gorge. We walked but at this flow it goes with a portage after the drops. My confident guess is it paddles better than the portage we did. But one of the things you learn after the fact looking back up at it. Bottom stuff went well and we took out at the bridge. Below falls creek comign in. Great day with new people.  "
"[11681,2826929]","#ROW[11679,1120139]","MF Flathead",5575,"2019-06-19",#MEDIA,"Floated with Nick Scarlet Kelly(allin raft) and Amy. Good flow. decent surf wave above the split rock. "
"[11681,2826934]","#ROW[11679,1120139]","MF Flathead",7150,"2019-06-15",#MEDIA,"Whitewater section with Adam. good quick fun"
"[11681,2826937]","#ROW[11679,1120139]","MF Flathead",6640,"2019-06-16",#MEDIA,"Float with Christen and her sisters family. Erin and Mike provided boats and rowed the family. "
"[11681,2826942]","#ROW[11679,1120139]","MF Flathead",4360,"2019-06-22",#MEDIA,"Bear to essex with John and dog. Rained most of the time. "
"[11681,2826946]","#ROW[11679,1120139]","Kennedy Cr",,"2019-06-23",#MEDIA,"Hiked from the boarder at many glacier into poa lake and then floated out Kennedy cr. We saw some sheds. This is a continual class 2-3? and was a little low. If higher it might be pretty heads up with wood and such. Could be done by driving into the hunting staging area without losing much whitewater. "
"[11681,3128574]","#ROW[11679,1120139]","MF Flatehead",4430,"2019-06-27",#MEDIA,"Ineligible bachelor trip Good flow minimal getting stuck"
"[11681,3128586]","#ROW[11679,1120139]","MF Flathead",3113,"2019-07-05",#MEDIA,"Float with Adam Kristen and Erin and Mike. Christen with me. Whitewater section Nice day"
"[11681,3128608]","#ROW[11679,1120139]","Blackfoot",1440,"2019-07-07",#MEDIA,"Day on the blackfoot with Christen wonderful way to spend a weekend. I love this woman she can spend a day in the rain and have fun"
"[11681,3128648]","#ROW[11679,1120139]","MF Flathead",2300,"2019-07-13",#MEDIA,"Whitewater section quickly"
"[11681,3128652]","#ROW[11679,1120139]","MF Flathead",1860,"2019-07-19",#MEDIA,"Quck little trip on the way west"
"[11681,3128658]","#ROW[11679,1120139]","MF Flathead",1645,"2019-07-21",#MEDIA,"Whitewater section. "
"[11681,3128662]","#ROW[11679,1120139]","MF Flathead",1435,"2019-07-25",#MEDIA,"Bear creek to essex with amy"
"[11681,3128664]","#ROW[11679,1120139]","MF Flathead",1375,"2019-07-26",#MEDIA,"Bear creek to essex with Spicier Family"
"[11681,3199513]","#ROW[11679,1120139]","WHite Salmon x3",,"2019-03-16",#MEDIA,"Ran the Lower the Middle and the truss. The truss might be the best thing I have ever Paddled wonderful. So wonderful I forgot to write it down "
"[11681,3199518]","#ROW[11679,1120139]","MF Flathead",1240,"2019-07-28",#MEDIA,"Good workout paddle with greg in the raft with dylan tasha and friends. CLosest to flatwater loop ever. So still pretty far away"
"[11681,3199527]","#ROW[11679,1120139]","MF Flathead",1240,"2019-07-28",#MEDIA,"Good workout paddle with greg in the raft with dylan tasha and friends. CLosest to flatwater loop ever. So still pretty far away"
"[11681,3199531]","#ROW[11679,1120139]","Jarbridge Brueneu",1200,"2019-04-13",#MEDIA,"Amazing Go back for the west fork and sheep. Jarbridge was really pretty all was a good low first time level"
"[11681,3326951]","#ROW[11679,1120139]","White Salmon",1.5,"2019-08-02",#MEDIA,"MIddle section running the steeze"
"[11681,3326961]","#ROW[11679,1120139]","Deschuets",1720,"2019-08-02",#MEDIA,"Dillan to play park. Great First run in the steeze. NIce mix of falls push and friendship. Wonderful "
"[11681,3326991]","#ROW[11679,1120139]","Little White Salmon",1.5,"2019-08-03",#MEDIA,"Squeaks, Phil and I made it down. Super slow through the first rapid. That is a steep river. I would like to do it at 1.7. Shows me what I have to do. Walked wishbone spirit and one other. Double drop was a ton of fun. Great heads up river running on an inclined plane. "
"[11681,3326993]","#ROW[11679,1120139]","White Salmon",1.5,"2019-08-04",#MEDIA,"Truss -> middle. Too low for the tops drops but the zig zags ran well. I love paddling in the PNW"
